"Data","Abertura","Alto","Baixo","Fechamento*","Fechamento ajustado**","Volume"
"01 de out. de 2006","1.335,82","1.389,45","1.327,10","1.377,94","1.377,94","56.793.620.000"
"01 de set. de 2006","1.303,80","1.340,28","1.290,93","1.335,85","1.335,85","49.001.440.000"
"01 de ago. de 2006","1.278,53","1.306,74","1.261,30","1.303,82","1.303,82","50.485.620.000"
"01 de jul. de 2006","1.270,06","1.280,42","1.224,54","1.276,66","1.276,66","46.348.220.000"
"01 de jun. de 2006","1.270,05","1.290,68","1.219,29","1.270,20","1.270,20","54.873.260.000"
"01 de mai. de 2006","1.310,61","1.326,70","1.245,34","1.270,09","1.270,09","54.312.830.000"
"01 de abr. de 2006","1.302,88","1.318,16","1.280,74","1.310,61","1.310,61","43.308.430.000"
"01 de mar. de 2006","1.280,66","1.310,88","1.268,42","1.294,87","1.294,87","50.905.040.000"
"01 de fev. de 2006","1.280,08","1.297,57","1.253,61","1.280,66","1.280,66","42.859.940.000"
"01 de jan. de 2006","1.248,29","1.294,90","1.245,74","1.280,08","1.280,08","49.211.650.000"
"01 de dez. de 2005","1.249,48","1.275,80","1.246,59","1.248,29","1.248,29","41.756.130.000"
"01 de nov. de 2005","1.207,01","1.270,64","1.201,07","1.249,48","1.249,48","45.102.870.000"
"01 de out. de 2005","1.228,81","1.233,34","1.168,20","1.207,01","1.207,01","49.793.790.000"
"01 de set. de 2005","1.220,33","1.243,13","1.205,35","1.228,81","1.228,81","44.777.510.000"
"01 de ago. de 2005","1.234,18","1.245,86","1.201,07","1.220,33","1.220,33","42.030.090.000"
"01 de jul. de 2005","1.191,33","1.245,15","1.183,55","1.234,18","1.234,18","37.464.670.000"
"01 de jun. de 2005","1.191,50","1.219,59","1.188,30","1.191,33","1.191,33","40.334.040.000"
"01 de mai. de 2005","1.156,85","1.199,56","1.146,18","1.191,50","1.191,50","39.321.990.000"
"01 de abr. de 2005","1.180,59","1.191,88","1.136,15","1.156,85","1.156,85","43.424.270.000"
"01 de mar. de 2005","1.203,60","1.229,11","1.163,69","1.180,59","1.180,59","39.014.150.000"
"01 de fev. de 2005","1.181,27","1.212,44","1.180,95","1.203,60","1.203,60","29.297.410.000"
"01 de jan. de 2005","1.211,92","1.217,80","1.163,75","1.181,27","1.181,27","31.498.800.000"
"01 de dez. de 2004","1.173,78","1.217,33","1.173,78","1.211,92","1.211,92","31.102.500.000"
"01 de nov. de 2004","1.130,20","1.188,46","1.127,60","1.173,82","1.173,82","30.460.280.000"
"01 de out. de 2004","1.114,58","1.142,05","1.090,29","1.130,20","1.130,20","31.511.000.000"
"01 de set. de 2004","1.104,24","1.131,54","1.099,18","1.114,58","1.114,58","26.829.870.000"
"01 de ago. de 2004","1.101,72","1.109,68","1.060,72","1.104,24","1.104,24","26.586.800.000"
"01 de jul. de 2004","1.140,84","1.140,84","1.078,78","1.101,72","1.101,72","29.285.600.000"
"01 de jun. de 2004","1.120,68","1.146,34","1.113,32","1.140,84","1.140,84","27.529.500.000"
"01 de mai. de 2004","1.107,30","1.127,74","1.076,32","1.120,68","1.120,68","29.326.400.000"
"01 de abr. de 2004","1.126,21","1.150,57","1.107,23","1.107,30","1.107,30","31.611.900.000"
"01 de mar. de 2004","1.144,94","1.163,23","1.087,16","1.126,21","1.126,21","33.597.900.000"
"01 de fev. de 2004","1.131,13","1.158,98","1.124,44","1.144,94","1.144,94","27.985.600.000"
"01 de jan. de 2004","1.111,92","1.155,38","1.105,08","1.131,13","1.131,13","32.820.000.000"
"01 de dez. de 2003","1.058,20","1.112,56","1.053,41","1.111,92","1.111,92","27.839.130.000"
"01 de nov. de 2003","1.050,71","1.063,65","1.031,20","1.058,20","1.058,20","24.463.220.000"
"01 de out. de 2003","995,97","1.053,79","995,97","1.050,71","1.050,71","32.298.500.000"
"01 de set. de 2003","1.008,01","1.040,29","990,36","995,97","995,97","29.940.110.000"
"01 de ago. de 2003","990,31","1.011,01","960,84","1.008,01","1.008,01","24.881.470.000"
"01 de jul. de 2003","974,50","1.015,41","962,10","990,31","990,31","31.553.200.000"
"01 de jun. de 2003","963,59","1.015,33","963,59","974,50","974,50","31.219.400.000"
"01 de mai. de 2003","916,92","965,38","902,83","963,59","963,59","30.952.100.000"
"01 de abr. de 2003","848,18","924,24","847,85","916,92","916,92","29.669.610.000"
"01 de mar. de 2003","841,15","895,90","788,90","848,18","848,18","30.080.030.000"
"01 de fev. de 2003","855,70","864,64","806,29","841,15","841,15","25.235.300.000"
"01 de jan. de 2003","879,82","935,05","840,34","855,70","855,70","30.749.580.000"
"01 de dez. de 2002","936,31","954,28","869,45","879,82","879,82","25.993.640.000"
"01 de nov. de 2002","885,76","941,82","872,05","936,31","936,31","29.200.960.000"
"01 de out. de 2002","815,28","907,44","768,63","885,76","885,76","37.856.310.000"
"01 de set. de 2002","916,07","924,02","800,20","815,28","815,28","27.723.710.000"
"01 de ago. de 2002","911,62","965,00","833,44","916,07","916,07","29.298.400.000"
"01 de jul. de 2002","989,82","994,46","775,68","911,62","911,62","42.228.720.000"
"01 de jun. de 2002","1.067,14","1.070,74","952,92","989,82","989,82","29.981.510.000"
"01 de mai. de 2002","1.076,92","1.106,59","1.048,96","1.067,14","1.067,14","26.905.500.000"
"01 de abr. de 2002","1.147,39","1.147,84","1.063,46","1.076,92","1.076,92","28.568.900.000"
"01 de mar. de 2002","1.106,73","1.173,94","1.106,73","1.147,39","1.147,39","26.563.200.000"
